quotedate,adstock99_face_video_impressions_low_ctr,adstock99_face_video_impressions_medium_ctr,adstock99_face_video_impressions_high_ctr,adstock99_face_all_impressions_low_ctr,adstock99_face_all_impressions_medium_ctr,adstock99_face_all_impressions_high_ctr,adstock99_insta_all_impressions_low_ctr,adstock99_insta_all_impressions_medium_ctr,adstock99_insta_all_impressions_high_ctr,multiple_quotes,Clicks_google_ads_nobrand_10654533086,Clicks_google_ads_nobrand_10907549225,Clicks_google_ads_nobrand_12469017996,Clicks_google_ads_nobrand_12499022096,nobrand_grouped,Clicks_google_ads_brand_178777874,Clicks_google_ads_brand_2074159850,Clicks_google_ads_brand_7773934687,Clicks_google_ads_brand_11806585366,brand_grouped,dummy_20211227_20220103,dummy_20220110_20220124,dummy_20210823_20211025,summer,dummy_2022613_20220718,dummy_20220101_20220131,dummy_20210726_20210920,commercial_vehicle_registrations,adstock50_TV,adstock95_TV
2021-07-19,1600410.5484600954,1.1888375696251825e-71,0.0,1613345.4102224084,2.2881770731256733e-35,3.6875708351096964e-35,1613345.4102224084,2.1396684020786252e-34,5.447139578051784e-135,1912.0,297.0,5.0,1191.0,164.0,1571.0,214.0,1568.0,505.0,0.0,254.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,256.17857142857144,68.44743288803406,1783.602683298396
2021-07-20,1594858.1023197207,1.2280594980996745e-72,0.0,1607835.2629735956,2.3636682249803403e-36,3.8092305498046955e-36,1607835.2629735956,2.210259980919726e-35,5.626850687777464e-136,1774.0,299.0,6.0,1102.0,147.0,1463.0,193.0,1393.0,382.0,0.0,256.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,256.17857142857144,73.0816025819509,1781.6680426474577
2021-07-21,1660803.5391690775,1.2685754298194908e-73,0.0,1672390.0692638978,2.441649968177468e-37,3.934904041276196e-37,1672390.0692638978,2.2831805052172525e-36,5.81249079610802e-137,1826.0,396.0,7.0,1053.0,242.0,1398.0,204.0,1433.0,415.0,1.0,193.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,256.17857142857144,77.27887973794601,1779.7475264828515
2021-07-22,1588206.6489264027,1.3104280563213309e-74,0.0,1601055.5280204448,2.5222044718863273e-38,4.0647237313702633e-38,1601055.5280204448,2.358506811146682e-37,6.004255511564876e-138,1844.0,452.0,13.0,1104.0,187.0,1444.0,179.0,1357.0,380.0,0.0,245.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,256.17857142857144,81.08045298360508,1777.8410316840761
2021-07-23,1851493.4494669572,1.3536614776138694e-75,0.0,1863688.728181437,2.6054166161875537e-39,4.198826410772159e-39,1863688.728181437,2.436318269849625e-38,6.202346896152781e-139,1677.0,438.0,11.0,1033.0,171.0,1451.0,208.0,1378.0,430.0,1.0,230.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,256.17857142857144,84.52362783363105,1775.9484558834956
2021-07-24,1704372.760890253,1.3983212486458243e-76,0.0,1717199.523219434,2.6913740815110797e-40,4.337353383142352e-40,1717199.523219434,2.516696871067004e-39,6.4069736782720495e-140,1490.0,367.0,6.0,1188.0,164.0,1399.0,152.0,915.0,278.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,256.17857142857144,87.6421927754979,1774.0696974608427
2021-07-25,1686872.3139395693,1.4444544273070947e-77,0.0,1700041.3080103053,2.780167441024786e-41,4.4804506140078277e-41,1700041.3080103053,2.5997273095314355e-40,6.618351472655152e-141,1387.0,265.0,7.0,1175.0,112.0,1280.0,111.0,862.0,262.0,1.0,137.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,256.17857142857144,90.4667508418905,1772.2046555377626
2021-07-26,1693289.5320652504,1.4921096240135417e-78,0.0,1706603.8783953285,2.871890256071222e-42,4.628268884565608e-42,1706603.8783953285,2.685497074209863e-41,6.83670300755943e-142,2158.0,456.0,7.0,1372.0,203.0,1757.0,213.0,1771.0,506.0,1.0,296.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,209.5,97.7193056379955,1775.0475156866823
2021-07-27,1603096.4254555649,1.541337052927663e-79,0.0,1614803.7865552981,2.9666391747529643e-43,4.7809639505605214e-43,1614803.7865552981,2.7740965404904635e-42,7.062258359455303e-143,2060.0,401.0,708.0,1495.0,216.0,1857.0,185.0,1571.0,494.0,1.0,262.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,209.5,104.28811614319851,1777.869620591315
2021-07-28,1649235.5512193255,1.5921885848691322e-80,0.0,1660551.9120574712,3.064514033770477e-44,10252.0,1680336.9120574712,2.8656190654109683e-43,7.295255195457274e-144,2031.0,379.0,1099.0,1335.0,178.0,1702.0,219.0,1652.0,511.0,0.0,235.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,209.5,110.23764326382621,1780.6711217822117
